Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage,Efficiency Group,Efficiency_Ratio
136,Cayman Islands,Herbicides,Agricultural Use,t,2016,365.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",4.157175398633258
136,Cayman Islands,Fungicides and Bactericides,Agricultural Use,t,2016,82.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",0.9339407744874716
136,Cayman Islands,Plant Growth Regulators,Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.022779043280182234
136,Cayman Islands,Other Pesticides nes,Agricultural Use,t,2016,39.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.44419134396355353
152,Chile,Pesticides (total),Agricultural Use,t,2016,11817.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",134.5899772209567
152,Chile,Pesticides (total),Use per area of cropland,kg/ha,2016,5.95,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.06776765375854214
152,Chile,Pesticides (total),Use per capita,kg/cap,2016,0.65,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.007403189066059226
152,Chile,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.96,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.010933940774487472
152,Chile,Insecticides,Agricultural Use,t,2016,1726.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",19.658314350797266
152,Chile,Herbicides,Agricultural Use,t,2016,2018.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",22.984054669703873
152,Chile,Fungicides and Bactericides,Agricultural Use,t,2016,5317.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",60.558086560364465
152,Chile,Plant Growth Regulators,Agricultural Use,t,2016,509.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",5.7972665148063784
152,Chile,Rodenticides,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.011389521640091117
152,Chile,Other Pesticides nes,Agricultural Use,t,2016,2245.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",25.569476082004556
170,Colombia,Pesticides (total),Agricultural Use,t,2016,32392.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",368.92938496583145
170,Colombia,Pesticides (total),Use per area of cropland,kg/ha,2016,8.59,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.09783599088838268
170,Colombia,Pesticides (total),Use per capita,kg/cap,2016,0.68,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.00774487471526196
170,Colombia,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.42,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.016173120728929385
170,Colombia,Insecticides,Agricultural Use,t,2016,3210.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",36.56036446469248
170,Colombia,Herbicides,Agricultural Use,t,2016,20400.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",232.34624145785878
170,Colombia,Fungicides and Bactericides,Agricultural Use,t,2016,8782.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",100.02277904328018
188,Costa Rica,Pesticides (total),Agricultural Use,t,2016,11633.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",132.49430523917997
188,Costa Rica,Pesticides (total),Use per area of cropland,kg/ha,2016,21.79,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.2481776765375854
188,Costa Rica,Pesticides (total),Use per capita,kg/cap,2016,2.39,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.02722095671981777
188,Costa Rica,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.58,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.029384965831435083
188,Costa Rica,Insecticides,Agricultural Use,t,2016,1598.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",18.200455580865604
188,Costa Rica,Herbicides,Agricultural Use,t,2016,3125.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",35.59225512528474
188,Costa Rica,Fungicides and Bactericides,Agricultural Use,t,2016,6724.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",76.58314350797266
188,Costa Rica,Plant Growth Regulators,Agricultural Use,t,2016,12.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.1366742596810934
188,Costa Rica,Other Pesticides nes,Agricultural Use,t,2016,174.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",1.9817767653758542
192,Cuba,Pesticides (total),Agricultural Use,t,2016,3549.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",40.42141230068337
192,Cuba,Pesticides (total),Use per area of cropland,kg/ha,2016,1.02,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.01161731207289294
192,Cuba,Pesticides (total),Use per capita,kg/cap,2016,0.32,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.0036446469248291574
192,Cuba,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.74,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.008428246013667427
192,Cuba,Insecticides,Agricultural Use,t,2016,510.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",5.808656036446469
192,Cuba,Herbicides,Agricultural Use,t,2016,2276.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",25.92255125284738
192,Cuba,Fungicides and Bactericides,Agricultural Use,t,2016,510.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",5.808656036446469
192,Cuba,Plant Growth Regulators,Agricultural Use,t,2016,11.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.1252847380410023
192,Cuba,Rodenticides,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.011389521640091117
192,Cuba,Other Pesticides nes,Agricultural Use,t,2016,241.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",2.7448747152619593
214,Dominican Republic,Pesticides (total),Agricultural Use,t,2016,5874.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",66.90205011389521
214,Dominican Republic,Pesticides (total),Use per area of cropland,kg/ha,2016,4.29,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.04886104783599089
214,Dominican Republic,Pesticides (total),Use per capita,kg/cap,2016,0.56,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.006378132118451026
214,Dominican Republic,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.22,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.013895216400911162
214,Dominican Republic,Insecticides,Agricultural Use,t,2016,1514.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",17.243735763097952
214,Dominican Republic,Herbicides,Agricultural Use,t,2016,2150.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",24.4874715261959
214,Dominican Republic,Fungicides and Bactericides,Agricultural Use,t,2016,1646.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",18.74715261958998
214,Dominican Republic,Plant Growth Regulators,Agricultural Use,t,2016,30.0,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.3416856492027335
214,Dominican Republic,Rodenticides,Agricultural Use,t,2016,105.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",1.1958997722095672
214,Dominican Republic,Other Pesticides nes,Agricultural Use,t,2016,429.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",4.886104783599089
218,Ecuador,Pesticides (total),Agricultural Use,t,2016,39240.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",446.9248291571754
218,Ecuador,Pesticides (total),Use per area of cropland,kg/ha,2016,16.25,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.18507972665148065
218,Ecuador,Pesticides (total),Use per capita,kg/cap,2016,2.38,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.027107061503416855
218,Ecuador,Pesticides (total),Use per value of agricultural production,g/Int$,2016,4.67,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.053189066059225514
218,Ecuador,Insecticides,Agricultural Use,t,2016,6827.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",77.75626423690206
218,Ecuador,Herbicides,Agricultural Use,t,2016,12916.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",147.10706150341687
218,Ecuador,Fungicides and Bactericides,Agricultural Use,t,2016,12939.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",147.36902050113895
218,Ecuador,Other Pesticides nes,Agricultural Use,t,2016,6558.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",74.69248291571755
222,El Salvador,Pesticides (total),Agricultural Use,t,2016,1419.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",16.161731207289293
222,El Salvador,Pesticides (total),Use per area of cropland,kg/ha,2016,1.61,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.0183371298405467
222,El Salvador,Pesticides (total),Use per capita,kg/cap,2016,0.23,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.002619589977220957
222,El Salvador,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.87,latin america and the caribbean,12.2,"Vulnerable (Low pesticide, High loss)",0.009908883826879272
222,El Salvador,Insecticides,Agricultural Use,t,2016,1291.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",14.703872437357631
222,El Salvador,Insecticides – Organo-phosphates,Agricultural Use,t,2016,3042.0,latin america and the caribbean,12.2,"Over-spenders (High pesticide, High loss)",34.64692482915718
